date,headline,sentiment
2020-03-16,Company faces short-term operational challenges,-0.7135779833158821
2020-03-17,Market concerns over declining margins,-0.37126285274270876
2020-03-19,Positive outlook driven by sector growth,0.430589104132698
2020-03-22,Positive outlook driven by sector growth,0.5153285886218519
2020-03-24,Company faces short-term operational challenges,-0.5965238752871553
2020-03-25,Business performance remains in line with forecasts,0.05150203659519334
2020-04-05,Company faces short-term operational challenges,-0.1363208529374207
2020-04-06,Company maintains stable operations,0.08516697073024945
2020-04-21,Earnings disappoint amid economic pressure,-0.2643900904942434
2020-04-23,Business performance remains in line with forecasts,-0.03206539993774127
2020-04-29,Company faces short-term operational challenges,-0.286772532221697
2020-05-05,Earnings exceed market expectations,0.33432420075140395
2020-05-14,Earnings disappoint amid economic pressure,-0.13843003242438548
2020-05-18,No major changes reported in latest update,0.06318549261065148
2020-05-20,Earnings disappoint amid economic pressure,-0.11813286522963706
2020-05-21,Business performance remains in line with forecasts,0.02823042502819048
2020-06-07,Company reports strong financial performance,0.1541558059784331
2020-06-10,Earnings disappoint amid economic pressure,-0.12550827123762334
2020-06-11,Company maintains stable operations,0.055690450010248194
2020-07-09,Company faces short-term operational challenges,-0.4603120868841972
2020-07-26,Company maintains stable operations,-0.043517221780066895
2020-07-27,Company reports strong financial performance,0.2216264381133057
2020-08-10,Earnings disappoint amid economic pressure,-0.12458916237723959
2020-08-18,Earnings exceed market expectations,0.3194642811897607
2020-08-19,Positive outlook driven by sector growth,0.4227202988693752
2020-08-23,Earnings exceed market expectations,0.4066095247905199
2020-08-26,No major changes reported in latest update,-0.08902191435172953
2020-08-27,Positive outlook driven by sector growth,0.25442514611515415
2020-08-31,Earnings disappoint amid economic pressure,-0.3488486314273787
2020-09-01,Market concerns over declining margins,-0.24349590922315326
2020-09-08,Market concerns over declining margins,-0.3707175894530097
2020-09-14,Company faces short-term operational challenges,-0.21379293474733532
2020-09-16,Positive outlook driven by sector growth,0.19407166404814324
2020-09-20,No major changes reported in latest update,0.09030502062639797
2020-09-29,Company reports strong financial performance,0.17510824807125264
2020-09-30,Company faces short-term operational challenges,-0.2750029636438268
2020-10-01,Company faces short-term operational challenges,-0.2302025679691171
2020-10-06,Company maintains stable operations,0.03433180079306044
2020-10-07,Company maintains stable operations,-0.03762553174914901
2020-10-12,Company reports strong financial performance,0.25742342348190395
2020-10-15,Positive outlook driven by sector growth,0.26250705679654046
2020-10-18,Market concerns over declining margins,-0.2786898972392461
2020-10-19,Company reports strong financial performance,0.15799774924486137
2020-11-02,Company faces short-term operational challenges,-0.1822785742951354
2020-11-05,Business performance remains in line with forecasts,0.09609368681746891
2020-11-08,Company reports strong financial performance,0.44513911816417007
2020-11-10,Company reports strong financial performance,0.4634515044248796
2020-11-11,Positive outlook driven by sector growth,0.16962388194169284
2020-11-19,Company maintains stable operations,-0.005130432061720976
2020-11-22,Earnings exceed market expectations,0.15891053572339395
2020-11-24,Earnings exceed market expectations,0.23124135529077425
2020-11-25,Positive outlook driven by sector growth,0.2204215299712971
2020-12-03,Company faces short-term operational challenges,-0.33523636373903587
2020-12-06,Company faces short-term operational challenges,-0.41908184925237835
2020-12-10,Company faces short-term operational challenges,-0.17326606406698375
2020-12-30,Company reports strong financial performance,0.1580807933139006
2020-12-31,Company reports strong financial performance,0.14454349322131776
2021-01-03,Earnings exceed market expectations,0.10820337369297858
2021-01-04,Market concerns over declining margins,-0.13808908683714283
2021-01-06,Company reports strong financial performance,0.10349741803975716
